Links ID,Mean latency increase,isolated network,isolated routers
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",285.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",280.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592663']",280.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592663']",280.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",277.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",266.6666666666667,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",262.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",262.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",262.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",260.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",260.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",260.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592666']",259.1666666666667,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592668']",255.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664']",254.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664']",251.66666666666666,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592666']",250.83333333333337,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",245.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667']",245.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592664']",245.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",245.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592663']",245.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",244.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592663']",244.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592663']",244.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592667']",227.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",226.66666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592666']",226.66666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592663']",226.66666666666669,0,0
['6569f30442e7f25d7a592668'],220.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",220.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",220.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592663']",220.0,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",220.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669']",218.33333333333334,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",218.33333333333334,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667']",215.0,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665']",207.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666']",204.16666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",202.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667']",197.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",197.5,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",195.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592667']",191.66666666666669,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",189.16666666666666,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",187.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665']",187.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",187.5,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",187.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592669']",185.83333333333334,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",185.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667']",185.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",185.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592669']",183.33333333333334,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664']",182.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",182.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592669']",180.83333333333334,0,0
